aback	by surprise
demoralize	to undermine the confidence or morale of; dishearten; to put into disorder; confuse
demure	modest and reserved in manner or behavior; shy
denature	to change the nature or natural qualities of; to render unfit to eat or drink without destroying usefulness in other applications
dendrite	a branched protoplasmic extension of a nerve cell that conducts impulses from adjacent cells inward toward the cell body
denigrate	to attack the character or reputation of; speak ill of; defame; to disparage; belittle
denizen	an inhabitant; a resident; one that frequents a particular place
denote	to mark; indicate; to signify directly; refer to specifically
denounce	to condemn openly as being evil or reprehensible; to accuse formally
deplore	to feel or express strong disapproval of; condemn; to regret; bemoan
deprecate	to express disapproval of; deplore; to belittle; depreciate
derange	to disturb the order or arrangement of; to disturb mentally; make insane
derelict	deserted by an owner or keeper; abandoned; run-down; dilapidated; neglectful of duty or obligation; remiss
deride	to speak of or treat with contemptuous mirth
dermis	the sensitive connective tissue layer of the skin located below the epidermis, containing nerve endings, sweat and sebaceous glands, and blo
derogate	to take away; detract; to disparage; belittle
derogatory	disparaging; belittling; tending to detract or diminish
derriere	buttocks; the rear
dervish	a member of any of various Moslem ascetic orders, some of which perform whirling dances and vigorous chanting as acts of ecstatic devotion;
descry	to catch sight of (something difficult to discern); to discover by careful observation or scrutiny; detect
desecrate	to violate the sacredness of; profane
desiccant	a substance, such as calcium oxide or silica gel, that has a high affinity for water and is used as a drying agent
desist	to cease doing something; forbear
desolate	devoid of inhabitants; deserted; barren; lifeless; bereft of friends or hope; sad and forlorn
despond	to become disheartened or discouraged
despondency	depression of spirits from loss of hope, confidence, or courage; dejection
despot	a ruler with absolute power; a person who wields power oppressively; a tyrant
destitute	utterly lacking; devoid; lacking resources or the means of subsistence; completely impoverished
desultory	moving or jumping from one thing to another; disconnected; occurring haphazardly; random
detent	a relaxing or easing, as of tension between rivals
determinant	an element that identifies or determines the nature of something or that fixes or conditions an outcome
deterministic	a theory or doctrine that acts of the will (see 2will 4a), occurrences in nature, or social or psychological phenomena are causally determined by preceding events or natural laws : a belief in predestination
detest	to dislike intensely; abhor
detritus	disintegrated or eroded matter; accumulated material; debris
dexterity	skill and grace in physical movement, especially in the use of the hands; adroitness; mental skill; cleverness
dexterous	skillful in the use of the hands; having mental skill or adroitness
dharma	the principle or law that orders the universe; the essential function or nature of a thing
Dia de la Raza	October 12, celebrated as a holiday in Spain, Latin America, and Hispanic regions and territories of the United States to commemorate the di
diabolical	characteristic of the devil; satanic
dialectic	the art or practice of arriving at the truth by the exchange of logical arguments
diaphanous	characterized by such fineness of texture as to permit seeing through; characterized by extreme delicacy of form : ethereal; insubstantial, vague
diatonic	using only the eight tones of a standard major or minor scale without chromatic deviations
diatribe	a bitter, abusive denunciation
dichotomy	division into two usually contradictory parts or opinions
dictum	an authoritative, often formal, pronouncement
diffuse	to spread something throughout something else, or to become spread throughout something else
dilatation	the condition of being expanded or stretched
dilate	to make wider or larger; cause to expand
dilemma	a situation that requires a choice between options that are or seem equally unfavorable or mutually exclusive
dilettante	a dabbler in an art or a field of knowledge; superficial; amateurish
diligent	marked by persevering, painstaking effort
dionysian	of an ecstatic, orgiastic, or irrational nature; frenzied or undisciplined
Dionysus	in Greek & Roman Mythology, the god of wine and of an orgiastic religion celebrating the power and fertility of nature; also called Bacchus
disavow	to disclaim knowledge of, responsibility for, or association with
disciple	one who embraces and assists in spreading the teachings of another
disconsolate	seeming beyond consolation; extremely dejected; cheerless; gloomy
discord	lack of agreement among persons, groups, or things; inharmonious combination of simultaneously sounded tones; dissonance
discourse	verbal expression in speech or writing
disdain	to regard or treat with haughty contempt; despise; to consider or reject as beneath oneself
dishabille	the state of being partially or very casually dressed; casual or lounging attire; an intentionally careless manner
dishevel	to loosen and let fall (hair or clothing) in disarray; to disarrange the hair or clothing of; to throw into disorder
disingenuous	not straightforward or candid; crafty
dismal	causing gloom or depression; dreary
disparage	to speak of in a slighting way; belittle; to reduce in esteem or rank
disparate	fundamentally distinct or different in kind; entirely dissimilar
dispel	rid one's mind of; to drive away or off by or as if by scattering
disseminate	to scatter widely, as in sowing seed; to spread abroad; promulgate
dissension	difference of opinion; disagreement
dissent	to disagree with a widely held or majority opinion
dissident	disagreeing, as in opinion or belief; one who disagrees; a dissenter
dissipate	to drive away; disperse; to attenuate to or almost to the point of disappearing; to use up, especially recklessly; exhaust
dissolute	lacking moral restraint; indulging in sensual pleasures or vices
dissonance	a harsh, disagreeable combination of sounds; discord; lack of agreement, consistency, or harmony; conflict
dissuade	to deter (a person) from a course of action or a purpose by persuasion or exhortation
distal	situated away from the point of attachment or origin or a central point especially of the body — compare proximal ; of, relating to, or being the surface of a tooth that is next to the tooth behind it or that is farthest from the middle of the front of the jaw
dither	a state of indecisive agitation; to be nervously irresolute in acting or doing
diurnal	relating to or occurring in a 24-hour period; daily; occurring or active during the daytime rather than at night
diva	an operatic prima donna
divisive	creating dissension or discord
docile	ready and willing to be taught; teachable; yielding to supervision, direction, or management; tractable
doctrine	a principle or body of principles presented for acceptance or belief, as by a religious, political, scientific, or philosophic group; dogma
dogged	stubbornly persevering; tenacious
doggerel	crudely or irregularly fashioned verse, often of a humorous or burlesque nature
dogmatic	characterized by an authoritative, arrogant assertion of unproved or unprovable principles
dolor	sorrow; grief
domineer	to rule over or control arbitrarily or arrogantly; tyrannize
dote	to show excessive love or fondness
doughty	marked by stouthearted courage
draconian	exceedingly harsh; very severe
droll	amusingly odd or whimsically comical
drudge	a person who does tedious, menial, or unpleasant work
dubious	fraught with uncertainty or doubt; undecided; of questionable character
dudgeon	a sullen, angry, or indignant humor
due care	the care that an ordinarily reasonable and prudent person would use under the same or similar circumstances
due process	a course of formal proceedings (such as legal proceedings) carried out regularly and in accordance with established rules and principles
dumbfound	to fill with astonishment and perplexity; confound
dungaree	a sturdy, often blue denim fabric; trousers or overalls made of sturdy denim fabric
duplicitous	deceitful or two-faced; deliberately giving a false impression by saying or doing different things to different people, especially to gain advantage
duress	forcible restraint or restriction : compulsion by threat or force
déjà vu	an impression of having seen or experienced something before
earnest	deep sincerity or seriousness
ebullient	zestfully enthusiastic; boiling or seeming to boil; bubbling
eccentric	one that deviates markedly from an established norm, especially a person of odd or unconventional behavior
ecclesiastical	of or pertaining to the church or the clergy; churchly; clerical; not secular
echelon	a level of responsibility or authority in a hierarchy; a rank
echolocation	a sensory system in certain animals, such as bats and dolphins, in which usually high-pitched sounds are emitted and their echoes interprete
eclectic	made up of or combining elements from a variety of sources
ecosystem	an ecological community together with its environment, functioning as a unit
ecstasy	intense joy or delight
ecumenical	of worldwide scope or applicability; universal
edifice	a building, especially one of imposing appearance or size; an elaborate conceptual structure
educe	draw or bring out; elicit; to assume or work out from given facts; deduce
effectuate	bring about; effect
efficacious	producing or capable of producing a desired effect
efficacy	the ability to produce a desired or intended result
effigy	a dummy, often roughly made and intentionally amusing or insulting, representing somebody or something disliked or despised
effrontery	brazen boldness; presumptuousness
effulgent	shining brilliantly; resplendent
effuse	spreading out loosely; to pour out (a liquid); to ooze forth; exude
ego	the self; in psychoanalysis, the division of the psyche that is conscious, most immediately controls thought and behavior, and is most in to
egocentric	holding the view that the ego is the center, object, and norm of all experience; confined in attitude or interest to one's own needs or affa
egregious	conspicuously bad or offensive
elan	enthusiastic vigor and liveliness
elate	make proud or joyful
elicit	to bring or draw out (something latent); educe; to arrive at (a truth, for example) by logic; to call forth (a reaction, for example)
elixir	a substance or medicine believed to have the power to cure all ills; a substance believed to maintain life indefinitely
elocution	the art of public speaking in which gesture, vocal production, and delivery are emphasized
eloquent	characterized by persuasive, powerful discourse; vividly or movingly expressive
elucidate	to make clear or plain, especially by explanation; clarify
Elysium	in Greek Mythology, a place or condition of ideal happiness
emaciate	to make or become extremely thin, especially as a result of starvation
emancipate	to free from bondage, oppression, or restraint; liberate
embargo	a prohibition by a government on certain or all trade with a foreign nation; a ban
embassy	a building containing the offices of an ambassador and staff
embellish	to make beautiful, as by ornamentation; decorate; to add ornamental or fictitious details to
emblazone	to adorn (a surface) richly with prominent markings; to make resplendent with brilliant colors; to make illustrious; celebrate
embroil	to involve in argument, contention, or hostile actions; to throw into confusion or disorder; entangle
emeritus	retired but retaining an honorary title corresponding to that held immediately before retirement
eminent	towering or standing out above others; prominent; of high rank, station, or quality; noteworthy
eminent domain	the right of a government to appropriate private property for public use, usually with compensation to the owner
emissary	an agent sent on a mission to represent or advance the interests of another
emitic	an agent that causes vomiting
emollient	softening and soothing, especially to the skin
emote	to express emotion, especially in an excessive or theatrical manner
empathy	identification with and understanding of another's situation, feelings, and motives
empirical	founded on experiment or observation only
en masse	in one group or body; all together
en route	on or along the way
enamor	to inspire with love; captivate
enclave	a distinctly bounded area enclosed within a larger unit; a country or part of a country lying wholly within the boundaries of another
encroach	to take another's possessions or rights gradually or stealthily; to advance beyond proper or former limits
endemic	prevalent in or peculiar to a particular locality, region, or people
endogenous	produced or growing from within
enervate	to weaken or destroy the strength or vitality of
enigma	one that is puzzling, ambiguous, or inexplicable; a perplexing speech or text; a riddle
enmity	deep-seated, often mutual hatred
ennui	listlessness and dissatisfaction resulting from lack of interest; boredom
ensconced	placed in a secure environment; settled comfortably
ensue	to follow as a consequence or result; to take place subsequently
enthrall	to hold spellbound; captivate; to enslave
entourage	a group of attendants or associates; a retinue
entrepreneur	a person who organizes, operates, and assumes the risk for a business venture
entropy	a tendency for all matter and energy to evolve toward a state of inert uniformity; inevitable and steady deterioration of a system or societ
enunciate	to pronounce; articulate
envoy	a representative of a government who is sent on a special diplomatic mission; a messenger; an agent
Eocene	the second oldest of the five major epochs of the Tertiary Period, extending from the end of the Paleocene to the beginning of the Oligocene
ephemeral	lasting for a markedly brief time
epic	surpassing the usual or ordinary, particularly in scope or size; heroic and impressive in quality
epicure	a person with refined taste especially in food and wine; a person devoted to sensuous pleasure and luxurious living
epidermis	the outer, protective, nonvascular layer of the skin of vertebrates, covering the dermis
epidural	an injection into the epidural space of the spine; located on or over the dura mater
epilogue	a short poem or speech spoken directly to the audience following the conclusion of a play
epinephrin	a hormone secreted by the adrenal medulla, released in response to physical or mental stress; also called adrenaline; a heart stimulant, vas
epiphany	a sudden manifestation of the essence or meaning of something; a comprehension or perception of reality by means of a sudden intuitive reali
epitome	a representative or an example of a class or type
epitomize	to be a typical example of
epoch	a particular period of history, especially one considered remarkable or noteworthy
epsilon	5th letter of the Greek alphabet; an arbitrarily small positive quantity in mathematical analysis; used to test for equality of floating point numbers
equable	unvarying; steady; free from extremes; not easily disturbed; serene
equanimity	the quality of being calm and even-tempered; composure
equinox	the two times during a year when the sun crosses the celestial equator and when the length of day and night are approximately equal; the ver
equipoise	equality in distribution, as of weight, relationship, or emotional forces; equilibrium
equivocal	uncertain; of double meaning; doubtful
eradicate	to get rid of as if by tearing up by the roots
eros	sexual drive; libido; in Greek Mythology, the god of love, son of Aphrodite
errant	roving, especially in search of adventure; straying from the proper course or standards
erratic	having no fixed course; wandering; irregular in behavior
erroneous	mistaken; incorrect
erudite	learned
erudition	deep, extensive learning
escapade	mischievous adventure
escapism	tendancy to withdraw from reality
eschew	stay away from (something wrong)
esoteric	mysterious, metaphysical, and intelligible only to people with special knowledge
espousal	a betrothal; a wedding ceremony; adoption of an idea or a cause
espouse	to take in marriage; marry; to give one's loyalty or support to (a cause, for example); adopt
esprit	liveliness of mind or spirit; sprightliness
esprit de corps	a common spirit of comradeship, enthusiasm, and devotion to a cause among the members of a group
esquire	used as an honorific usually in its abbreviated form, especially after the name of an attorney or a consular officer
essence	the intrinsic or indispensable properties that serve to characterize or identify something; the most important ingredient; something that ex
esteem	to regard with respect; prize
estimable	worthy of high regard; admirable
estivate	to spend the summer, as at a special place
estrange	to make hostile, unsympathetic, or indifferent; alienate; to remove from an accustomed place or set of associations
estuary	mouth of river subject to tides; inlet of sea
ethereal	heavanly; light; airy; spiritual
ethics	a set of principles of right conduct; a theory or a system of moral values
ethnic	of or relating to sizable groups of people sharing a common and distinctive racial, national, religious, linguistic, or cultural heritage
ethos	the disposition, character, or fundamental values peculiar to a specific person, people, culture, or movement
euphemism	substituting a mild, indirect, or vague term for one considered harsh, blunt, or offensive
euphoria	a feeling of great happiness or well-being
evanesce	to dissipate or disappear like vapor
eventide	evening
evince	to show or demonstrate clearly; manifest
eviscerate	to remove the entrails of; disembowel; to take away a vital or essential part of
ex parte	from a one-sided or strongly biased point of view
exacerbate	to increase the severity, violence, or bitterness of; aggravate
exalt	hold (someone or something) in very high regard; think or speak very highly of
exasperate	to make very angry or impatient; annoy greatly; to increase the gravity or intensity of
excise	an internal tax imposed on the production, sale, or consumption of a commodity or the use of a service within a country
exculpate	to clear of guilt or blame
exculpatory	rebuts or contradicts a given theory
execrate	to declare to be hateful or abhorrent; denounce; to feel loathing for; abhor
executor	a person who carries out or performs something
exegesis	exposition, explanation; especially : an explanation or critical interpretation of a text
exemplar	worthy of imitation; a model
exhort	to urge by strong, often stirring argument, admonition, advice, or appeal
exigent	requiring immediate action or remedy; requiring much effort or expense; demanding
exiguous	extremely scanty; meager
exile	enforced removal from one's native country; self-imposed absence from one's country
existential	dealing with existence; based on experience; empirical
exodus	a departure of a large number of people
exogenous	derived or developed from outside the body; originating externally
exonerate	to free from blame; to free from a responsibility, obligation, or task
exorbitant	exceeding all bounds, as of custom or fairness
expedient	appropriate to a purpose; serving to promote one's interest
expedite	to speed up the progress of; facilitate
expletive	an exclamation or oath, especially one that is profane, vulgar, or obscene
explicable	possible to explain
exploit	to employ to the greatest possible advantage; to make use of selfishly or unethically; to advertise; promote
exponent	one that speaks for, represents, or advocates
exposition	a statement or rhetorical discourse intended to give information about or an explanation of difficult material
expostulate	to reason earnestly with someone in an effort to dissuade or correct; remonstrate
extenuate	to lessen the strength or effect of; to lessen or to try to lessen the seriousness or extent of by making partial excuses : mitigate
extirpate	to pull up by the roots; to destroy totally; exterminate; to remove by surgery
extort	to obtain from another by coercion or intimidation
extramural	occurring or situated outside of the walls or boundaries, as of a community
extraneous	not constituting a vital element or part; inessential or unrelated to the topic or matter at hand; irrelevant
extrapolate	to infer or estimate by extending or projecting known information
extreme unction	the sacrament of anointing the sick in the Roman Catholic Church (dated)
extricate	to release from an entanglement or difficulty; disengage
extrinsic	not forming an essential or inherent part of a thing; extraneous; originating from the outside; external
extrovert	an individual interested in others or in the environment as opposed to or to the exclusion of self
exuberant	full of unrestrained enthusiasm or joy; lavish; extravagant
exude	to ooze forth; to discharge or emit (a liquid or gas, for example) gradually; to exhibit in abundance
exult	to rejoice greatly; be jubilant or triumphant
facile	done or achieved with little effort or difficulty; easy
factotum	a person having many diverse activities or responsibilities; a general servant
fallible	capable of making an error; tending or likely to be erroneous
falter	to be unsteady in purpose or action, as from loss of courage or confidence; waver; to speak hesitatingly; stammer
famish	to cause to suffer severely from hunger; to suffer for lack of something necessary
farce	a savory stuffing : forcemeat; a light dramatic composition marked by broadly satirical comedy and improbable plot ; an empty or patently ridiculous act, proceeding, or situation
farrago	an assortment or a medley; a conglomeration
fastidious	careful, meticulous attention to detail; difficult to please; exacting; excessively scrupulous or sensitive
fathom	penetrate to the meaning or nature of; comprehend; unit of length equal to 6 feet
fawn	to exhibit affection or attempt to please; to seek favor or attention by flattery and obsequious behavior
fealty	the fidelity owed by a vassal to his feudal lord; faithfulness; allegiance
feckless	lacking purpose or vitality; feeble or ineffective; careless and irresponsible
feeble	weak
feign	to represent falsely; pretend to; to imitate so as to deceive
felicitate	to offer congratulations to
felicitous	admirably suited; apt; marked by happiness or good fortune
felicity	great happiness; bliss; an appropriate and pleasing manner or style
femme fatale	a woman of great seductive charm who leads men into compromising or dangerous situations; an alluring and mysterious woman
fervent	having or showing great emotion or zeal; ardent; extremely hot; glowing
fervid	marked by great passion or zeal; extremely hot; burning
fervor	great warmth and intensity of emotion; intense heat
fetid	with a rotten or offensive smell
feudal	relating to lands held in fee or to the holding of such lands
fiat	an arbitrary order or decree; authorization or sanction
Fibonacci number	an integer in the infinite sequence 1, 1, 2, 3, 5, 8, 13, ... of which the first two terms are 1 and 1 and each succeeding term is the sum of the two immediately preceding
fictitious	imaginary
fictive	able to engage in imaginative invention
fidelity	faithfulness to obligations, duties, or observances
fiduciary	of or relating to a holding of something in trust for another
fixate	to focus one's eyes or attention on
fjord	a long, narrow, deep inlet of the sea between steep slopes
flabbergast	to cause to be overcome with astonishment; astound
flaccid	lacking firmness, resilience, or muscle tone; lacking vigor or energy
flagellation	beating with a whip or strap or rope as a form of punishment; beating as a source of erotic or religious stimulation
flagrant	conspicuously bad, offensive, or reprehensible
flair	a natural talent or aptitude; a knack
flamboyant	marked by or given to strikingly elaborate or colorful display or behavior
flare	to flame up with a bright, wavering light; to burst into intense, sudden flame
flatter	to compliment excessively and often insincerely, especially in order to win favor
flippant	disrespectful levity or casualness; pert
flotsam	wreckage or cargo that remains afloat after a ship has sunk; floating refuse or debris; discarded odds and ends
flout	to treat with contemptuous disregard : scorn; to indulge in scornful behavior 
fogy	a person of stodgy or old-fashioned habits and attitudes
foible	a minor weakness or failing of character
forlorn	appearing sad or lonely because deserted or abandoned; forsaken or deprived; wretched or pitiful in appearance or condition; nearly hopeless
formidable	arousing fear, dread, or alarm; inspiring awe, admiration, or wonder; difficult to undertake, surmount, or defeat
fortuitous	happening by accident or chance
fracas	a noisy, disorderly fight or quarrel; a brawl
fractious	inclined to make trouble; unruly; having a peevish nature; cranky
frank	open and sincere in expression; straightforward
fraught	filled with a specified element or elements; charged; marked by distress; upsetting
frenetic	wildly excited or active; frantic; frenzied
freshet	a sudden overflow of a stream resulting from a heavy rain or a thaw; a stream of fresh water that empties into a body of salt water
frivolous	unworthy of serious attention; trivial; inappropriately silly
frolic	play and move about cheerfully, excitedly, or energetically
fructify	to bear fruit; to make fruitful or productive
fruition	realization of something desired or worked for; accomplishment
fulminate	to issue a thunderous verbal attack or denunciation; to explode or detonate
fulsome	offensively flattering or insincere; offensive to the taste or sensibilities
furlough	a leave of absence from duty granted especially to a soldier
furtive	characterized by stealth; surreptitious; expressive of hidden motives or purposes; shifty
fusillade	a discharge from a number of firearms, fired simultaneously or in rapid succession; a rapid outburst or barrage
futile	having no useful result
gainsay	to declare to be untrue or invalid; contradict, oppose
gallant	smartly or boldly stylish; dashing; unflinching in battle or action; valiant; courteously attentive especially to women; chivalrous
gallivant	to roam about in search of pleasure or amusement; to play around amorously; flirt
galvanize	to stimulate or shock with an electric current; to arouse to awareness or action; spur
gamut	a complete range or extent
gantry	a mount for a traveling crane consisting of a large archlike or bridgelike frame designed to move along a set of tracks
gape	to open the mouth wide; yawn; to stare wonderingly or stupidly, often with the mouth open
garner	to gather and store in or as if in a granary; to amass; acquire
garrish	marred by strident color or excessive ornamentation; gaudy; loud and flashy; glaring; dazzling
garrison	a military post, especially one that is permanently established; the troops stationed at a military post
garrulous	given to excessive and often trivial or rambling talk; tiresomely talkative; wordy and rambling
gauche	lacking social polish; tactless
gaunt	thin and bony; angular; bleak and desolate; barren
gauntlet	a protective glove worn with medieval armor; a severe trial; an ordeal
general relativity	The geometric theory of gravitation developed by Albert Einstein, incorporating and extending the theory of special relativity to accelerate
genesis	the coming into being of something; the origin
genial	having a pleasant or friendly disposition or manner; cordial and kindly;conducive to life, growth, or comfort; mild
genocide	the systematic and planned extermination of an entire national, racial, political, or ethnic group
genome	a complete haploid set of chromosomes with its associated genes
gentrification	the process of renewal and rebuilding accompanying the influx of middle-class or affluent people into deteriorating areas that often displaces poorer residents
germane	pertinent and fitting
gestalt	a physical, biological, psychological, or symbolic configuration or pattern of elements so unified as a whole that its properties cannot be
gesticulate	to make gestures especially while speaking, as for emphasis; to say or express by gestures
gesundheit	used to wish good health to a person who has just sneezed
gibbous	characterized by convexity; protuberant; more than half but less than fully illuminated
gibe	to make taunting, heckling, or jeering remarks
gist	the central idea; the essence
glabrous	having no hairs, projections, or pubescence; smooth
glen	a valley
glib	performed with a natural, offhand ease; showing little thought, preparation, or concern
gloat	to feel or express great, often malicious, pleasure or self-satisfaction
glum	moody and melancholy; dejected; gloomy; dismal
glut	to fill beyond capacity, especially with food; satiate; to flood (a market) with an excess of goods so that supply exceeds demand
glutton	a person who eats or consumes immoderate amounts of food and drink
Gnostic	of, relating to, or possessing intellectual or spiritual knowledge
goad	a long stick with a pointed end used for prodding animals; an agent or means of prodding or urging; a stimulus
Gospel	the proclamation of the redemption preached by Jesus and the Apostles, which is the central content of Christian revelation
gossamer	a soft, sheer, gauzy fabric; something delicate, light, or flimsy; a fine film of cobwebs often seen floating in the air or caught on bushes
gossip	idle talk or rumor, especially about the personal or private affairs of others
grandiloquence	pompous or bombastic speech or expression
grassroots	people or society at a local level rather than at the center of major political activity; the groundwork or source of something
gravamen	the material or significant part of a grievance or complaint
grimace	sharp contortion of the face expressive of pain, contempt, or disgust
grovel	to behave in a servile or demeaning manner; cringe; to lie or creep in a prostrate position, as in subservience or humility
gubernatorial	of or relating to a governor
guile	treacherous cunning; skillful deceit
guise	outward appearance or aspect; semblance; false appearance; pretense; mode of dress; garb
gumption	boldness of enterprise; initiative or aggressiveness; common sense
gustatory	of or relating to the sense of taste
gusto	vigorous enjoyment; zest; individual taste
habiliment	the special dress or garb associated with an occasion or office
hachure	to denote surfaces in relief (as on a map) by shading with short lines drawn in the direction of slope
hackneyed	overfamiliar through overuse; trite
hallow	to make or set apart as holy; to respect or honor greatly; revere
haploid	having the same number of sets of chromosomes as a germ cell or half as many as a somatic cell
harbinger	one that indicates or foreshadows what is to come; a forerunner
harpy	an offensive term for a woman that deliberately insults her attitude toward others in the pursuit of personal goals
haughty	scornfully and condescendingly proud
havoc	widespread destruction; devastation; disorder or chaos; total mayhem
haw	an utterance used by a speaker who is fumbling for words
heady	intoxicating or stupefying; tending to upset the mind or the balance of senses; domineering; overbearing
heathen	one who is regarded as irreligious, uncivilized, or unenlightened
hedonism	pursuit of or devotion to pleasure, especially to the pleasures of the senses
heinous	grossly wicked or reprehensible; abominable
heretic	a person who holds controversial opinions, especially one who publicly dissents from the officially accepted dogma of the Roman Catholic Chu
hierarchical	 arranged in order of rank : an arrangement of items in which the items are represented as being "above", "below", or "at the same level as" one another
hierarchy	a system or organization in which people or groups are ranked one above the other according to status or authority
highbrow	of, relating to, or being highly cultured or intellectual
histrionics	exaggerated emotional behavior calculated for effect; theatrical arts or performances
hobnob	to associate familiarly
hogwash	nonsense, balderdash
hoi polloi	the common people; the masses
holocaust	great or total destruction, especially by fire; the genocide of European Jews and others by the Nazis during World War II
Holocene	the more recent of the two epochs of the Quaternary Period, extending from the end of the Pleistocene Epoch to the present
homage	ceremonial acknowledgment by a vassal of allegiance to his lord under feudal law; special honor or respect shown or expressed publicly
homeopathy	a system for treating disease based on the administration of minute doses of a drug that in massive amounts produces symptoms in healthy ind
homeostasis	the ability or tendency of an organism or a cell to maintain internal equilibrium by adjusting its physiological processes
homily	a usually short sermon; a lecture or discourse on or of a moral theme; an inspirational catchphrase
homologous	corresponding or similar in position, value, structure, or function
hortatory	marked by exhortation or strong urging
hubbub	loud noise; din; confusion; tumult
humbug	something intended to deceive; a hoax or fraud; nonsense; rubbish; used to express disbelief or disgust
humdrum	lacking variety or excitement; dull; monotonous talk or routine
hussy	a woman considered brazen or immoral; a saucy or impudent girl
hydroponics	growing of plants in water or gravel with added chemicals
hyperbole	exaggeration obviously meant for effect, as in I could sleep for a year
hypocrisy	the practice of professing beliefs, feelings, or virtues that one does not hold or possess; falseness
hystricomorpha	a suborder of Rodentia comprising forms distinguished by zygomatic arch in which the jugal bone forms the center block and including porcupines, guinea pigs, chinchillas, and many others
ibidem	in the same place; used in footnotes and bibliographies to refer to the book, chapter, article, or page cited just before; abbr. ib., ibid.
id	in Freudian theory, the division of the psyche that is totally unconscious and serves as the source of instinctual impulses and demands for
ideology	a closely organized system of beliefs, values, and ideas forming the basis of a social, economic, or political philosophy or program
idiom	a specialized vocabulary used by a group of people; jargon; a speech form or an expression of a given language that is peculiar to itself gr
idiosyncracy	a structural or behavioral characteristic peculiar to an individual or a group
idiosyncratic	a peculiarity of constitution or temperament : an individualizing characteristic or quality; characteristic peculiarity (as of temperament); broadly : eccentricity
idolatry	worship of idols; blind or excessive devotion to something
idyll	a scene or an event of a simple and tranquil nature; a carefree episode or experience
illustrious	well known and very distinguished; eminent
imbroglio	a difficult or intricate situation; an entanglement; a confused or complicated disagreement; a confused heap; a tangle
imbue	to inspire, permeate, or invade; to stain or dye deeply
imitable	that can be imitated; worthy of imitation
immune	not subject to an obligation imposed on others; exempt
immutable	not subject or susceptible to change
imp	a mischievous child; a small demon
impair	diminish, as in strength, value, or quality
impale	to pierce with a sharp stake or point
impeccable	having no flaws; perfect; incapable of sin or wrongdoing
impecunious	lacking money; penniless
impede	to retard or obstruct the progress of
impediment	a hindrance or an obstruction
impel	to urge to action through moral pressure; drive
imperious	overbearing; urgent
impertinent	exceeding the limits of propriety or good manners; improperly forward or bold; not pertinent; irrelevant
imperturbable	unshakably calm and collected
impervious	incapable of being penetrated; incapable of being affected
impetuous	sudden and forceful energy or emotion; impulsive and passionate; having or marked by violent force
impetus	an impelling force; an impulse; something that incites; a stimulus
impinge	to collide or strike; to encroach; trespass
implacable	impossible to placate or appease
implicate	to involve or connect intimately or incriminatingly
implore	to appeal to in supplication; beseech; to beg for urgently; entreat
importunate	troublesomely urgent or persistent in requesting; pressingly entreating
importune	to beset with insistent or repeated requests; entreat pressingly; to plead or urge irksomely, often persistently
impotent	lacking physical strength or vigor; weak
impregnable	impossible to capture or enter by force
impromptu	done without previous preparation
impropriety	incorrectness; unfitness; indecency
impudent	characterized by offensive boldness; insolent or impertinent
impugn	to attack as false or questionable; challenge in argument
impulse	an impelling force; an impetus
in utero	in the uterus
in vacuo	empty space
inane	empty; senseless; silly
inappreciable	too small to be noticed or make a significant difference; negligible
inarticulate	uttered without the use of normal words or syllables; incomprehensible as speech or language
incandescent	emitting visible light as a result of being heated; shining brilliantly; very bright
incarcerate	to put into jail; to shut in; confine
incarnate	embodied in human form; personified; to give bodily, especially human, form to; to personify
incendiary	causing or capable of causing fire
incense	to cause to be extremely angry; infuriate
incessant	continuing without interruption
incipient	beginning to exist or appear
incise	make a cut in
incite	to provoke and urge on
incognito	with one's identity disguised or concealed
incongruous	not in agreement, as with principles; inconsistent
inconspicuous	not readily noticeable
incontrovertible	Impossible to dispute; unquestionable.
incredulous	skeptical; disbelieving
incriminate	accuse of a crime or other wrongful act; cause to appear guilty of a crime or fault; implicate
inculcate	impress (something) upon the mind of another by frequent instruction or repetition; instill
inculpate	incriminate
inculpate	to charge with fault; blame; accuse : to involve in a charge; incriminate
inculpatory	implying or imputing guilt : tending to incriminate or inculpate
incursion	aggressive entrance into foreign territory; a raid or an invasion
indecorous	lacking propriety or good taste
indelible	permanent; impossible to remove, erase, or wash away
indemnify	protect against damage, loss, or injury; insure
indemnity	security against damage, loss, or injury
indictment	any charge, accusation, serious criticism, or cause for blame
indifferent	not mattering one way or the other
indigenous	originating and growing or living in an area or environment; intrinsic; innate
indigent	experiencing want or need; impoverished
indignation	anger aroused by something unjust, mean, or unworthy
individuate	make separate and distinct
indoctrinate	initiate by means of doctrinal instruction; imbue with a partisan or ideological point of view
indolent	habitually lazy; conducive to inactivity or laziness; lethargic
indomitable	incapable of being overcome, subdued, or vanquished; unconquerable
ineffable	incapable of being expressed; indescribable or unutterable; taboo
ineluctable	not to be avoided or escaped; inevitable
inept	lack of judgment, sense, or reason; foolish; incompetent
inert	unable to move or act; sluggish in action or motion; lethargic
inertia	tendency of a body to resist acceleration; tendency of a body at rest to remain at rest or of a body in motion to stay in motion in a straig
inexorable	not capable of being persuaded by entreaty; relentless
inexplicable	difficult or impossible to explain or account for
inextricable	so intricate or entangled as to make escape impossible; too involved or complicated to solve
infallible	incapable of erring; incapable of failing; certain
infantile	lack of maturity; extremely childish
